PRODUCT,SUPPLIER,COUNTRY,MOQ,QTY,UNIT_EXW,PACKAGING,FREIGHT,DUTY,OTHER_COSTS,LANDED_UNIT_COST,TARGET_MAX_COST,FLOOR_MAX_COST,SELLING_PRICE_HT,GROSS_MARGIN_EUR,GROSS_MARGIN_PERCENT,SAMPLE_COST,PRODUCTION_TIME,COMPLIANCE_STATUS,QUALITY_STATUS,SCORE,DECISION,NOTES
chaussettes-polaires-nuage,,,,,,,,,,,7.26,9.34,20.75,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"Vedette. SKUs BOR-NUA-*. Taille S/M,L/XL x2 coloris. RFQ R36 (2 tailles)."
gants-tactiles-contact,,,,,,,,,,,8.72,11.21,24.92,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Coeur. SKUs BOR-CON-*. Tactile 3 doigts: preuve durabilite lavage exigee. R36.
bonnet-torse-boreale,,,,,,,,,,,10.18,13.09,29.08,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Coeur. BOR-BON-U x3 coloris. Test extension 54-60 cm exige.
cache-cou-polaire-bise,,,,,,,,,,,5.80,7.46,16.58,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,PRODUIT D'APPEL. BOR-BIS-U x2 coloris. Grammage + sechage mesures.
legging-thermique-seconde-peau,,,,,,,,,,,11.64,14.96,33.25,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,UPSELL taille critique. BOR-LEG x3 tailles. R36 prioritaire + echantillons 3 tailles.
chaussons-fourres-refuge,,,,,,,,,,,13.10,16.84,37.42,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Taille critique. BOR-REF x5 pointures. Semelle interne cm par pointure + glissance.
chaussons-bouillotte-foyer,,,,,,,,,,,13.10,16.84,37.42,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,HERO priorite 1. Gate docs RFQ_SUPPLIERS §4: sans pack documentaire complet GO interdit.
chauffe-mains-reutilisables-braise,,,,,,,,,,,4.93,6.34,14.08,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"APPEL, lot de 2. FDS+CLP obligatoires. Couts max = par LOT."
plaid-polaire-alpage,,,,,,,,,,,8.72,11.21,24.92,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,APPEL volume. CBM carton critique (fret). Grammage 280 g/m2 a prouver.
bouillotte-noyaux-cerise-brasero,,,,,,,,,,,7.26,9.34,20.75,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,UPSELL. Fiche sanitaire noyaux + notice FR exigees.
housse-pare-brise-sentinelle-ST,,,,,,,,,,,10.18,13.09,29.08,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Vedette auto. Taille Standard 145x110. Force magnetique + test vent mesures.
housse-pare-brise-sentinelle-XL,,,,,,,,,,,11.64,14.96,33.25,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Vedette auto. Taille XL 165x120. Ligne de devis separee du ST.
gant-grattoir-polaire,,,,,,,,,,,3.76,4.84,10.75,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,APPEL. Test choc ABS -20C + securite arete.
plaid-sherpa-nid,,,,,,,,,,,17.47,22.46,49.92,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Vedette. 150x200. CBM/compression = poste fret dominant.
plaid-manches-cocon,,,,,,,,,,,14.55,18.71,41.58,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,UPSELL. Oversize: table morphologies cm exigee.
pack-cocooning,,,,,,,,,,,27.68,35.59,79.08,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,PACK: options A/B/C a comparer (onglet Packs xlsx). Cout max = pack complet landed.
pack-grand-froid,,,,,,,,,,,32.05,41.21,91.58,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,PACK: famille textile = candidat option B/C (fournisseur unique possible).
pack-auto-hiver,,,,,,,,,,,16.01,20.59,45.75,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,PACK: option A sous plancher aux couts cibles -> C obligatoire ou recomposition.
pack-ski,,,,,,,,,,,30.60,39.34,87.42,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,PACK: famille textile = candidat option B/C.
chaussons-bouillotte-foyer,"Shanghai Senwo Industry Co., Ltd.",CN,500,,,,,,,,13.10,16.84,37.42,,,,100,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"Prix PUBLIC plateforme (pas un devis): $3.90/paire 500-49999, $1.70 >=50000; echantillon $100. 14 ans Alibaba, 4.7/5(123), rep<=5h, on-time>=82%. FOB Shanghai; carton 50x34x30=0.051CBM; 350/710g; OEM full. Claim 'EU standards' sans copie. SRC: alibaba.com/product-detail/_1600619130210.html + shsenwo.com"
chaussons-bouillotte-foyer,"Frey Home Decoration Co., Limited",CN,1000,,,,,,,,13.10,16.84,37.42,,,,30,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Prix PUBLIC: $1.50-2.60 MOQ 1000; echantillon $30. Audited Supplier tiers; Gold 2014 (13 ans); capacite 500000/an; HS 6405200010; OEM/ODM couleurs/tailles/logo. Claims CE/EN71/ASTM/AZO-free SANS copie. SRC: qdfrey.en.made-in-china.com/product/RMYnxUbHIwpt/
chaussons-bouillotte-foyer,Yangzhou Excellence Household Necessaries Factory,CN,1000,,,,,,,,13.10,16.84,37.42,,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Prix PUBLIC: 'Negotiable FOB' (aucun prix publie). Anciennete plateforme non lue. Ligne wheat bag claim BS 8433:2004 (copie a exiger). Synergie Brasero (cherry stone). SRC: yzdilson.en.made-in-china.com/product-list-1.html
chaussons-bouillotte-foyer,"Yangzhou Bobo's Toy & Gift Co., Ltd.",CN,1000,,,,,,,,13.10,16.84,37.42,,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"Prix PUBLIC: $1.00 (1000-9999999 paires), $4.00 (10M+) - paliers incoherents a confirmer. CAPACITE 5000000/an. RISQUE: derniere connexion plateforme 30/04/2021 (compte dormant) - reserve uniquement. SRC: bobostoygift.en.made-in-china.com/product/hMXnUVNDCORQ/"
chaussons-bouillotte-foyer,"Wuhan Pakcare Bio-Technology Co., Ltd.",CN,1000,,,,,,,,13.10,16.84,37.42,,,,1,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"Prix PUBLIC: $3.69 (1000-4999), $2.59 (5000-9999), $1.99 (>=10000); echantillon $1. 7 ans Alibaba, 5/5(182), on-time>=95%, reorder 21%, marches NL/FI/US. Lead time 50j (1-1000). Emb 30x20x10cm 1kg. Claims CE/ISO + CPSIA SANS copie. SRC: alibaba.com/product-detail/_1601503755938.html"
housse-pare-brise-sentinelle-ST,"Colese (Guangzhou) Equipment Co., Ltd.",CN,20,,,,,,,,10.18,13.09,29.08,,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"Prix PUBLIC $12.30-13.30 (MOQ 20) AU-DESSUS cible -> exiger paliers 300/500/1000. 1 an Alibaba, 4.9/5(131), on-time>=100%. Fret mer des $0.84/kg 17-24j. Tailles 183x116/193x126. SRC alibaba 1601918322451"
housse-pare-brise-sentinelle-ST,"Ningbo Jiangbei JK Auto Accessories Co., Ltd.",CN,500,,,,,,,,10.18,13.09,29.08,,,,9,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"Prix PUBLIC $3.26 MOQ 500. Gold 2018 + Audited Supplier. Garantie 1 an, after-sales yes, custom available. SRC coverabc.en.made-in-china.com GjXJTrFBAdWp"
housse-pare-brise-sentinelle-ST,"Dongguan Joyart Auto Accessories Products Co., Ltd.",CN,20,,,,,,,,10.18,13.09,29.08,,,,6,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"Prix PUBLIC $3.46/$2.87/$1.87 (20/100/50000). 10 ans, 4.5/5(1487), on-time>=93%, reorder 21%, marches US/UK/BR/AU/CA. PEVA alu. SRC alibaba 1600930185415"
housse-pare-brise-sentinelle-ST,"Zhejiang Yiwu Jiangnan Waterproof Co., Ltd.",CN,500,,,,,,,,10.18,13.09,29.08,,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,Prix PUBLIC $2.6-8 (sun shade)/$4.75-5 (half cover) MOQ 500. Fabricant tissu impermeable (integration matiere). Anciennete plateforme A SOURCER. SRC ywjiangnancoating.goldsupplier.com
housse-pare-brise-sentinelle-ST,Linqing City Fangkun Outdoor Products Factory,CN,5,,,,,,,,10.18,13.09,29.08,,,,,,NON_DOCUMENTE,NON_DOCUMENTE,,SAMPLE REQUIRED,"Prix PUBLIC $5 MOQ 5. 7 ans, 4.5/5(50), ON-TIME 68% RISQUE, reorder 5%. Tailles 145x113/160x116, PEVA 3mil, echantillon 5-7j. SRC alibaba 1601848541857"
